% R/bohr 1Sig  1Pi  1Del  3Sig  3Pi  Axy   Azy  Bss  Byx  Bxs  Bsy  Bxd
  25.10 -2.00408628E-02 -1.35296607E-02 -2.15880873E-02 -2.31695202E-02 -2.18403560E-02  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  25.35 -1.83081871E-02 -1.22669481E-02 -1.96669272E-02 -2.11330821E-02 -1.99223373E-02  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  25.60 -1.67604290E-02 -1.11554982E-02 -1.79699987E-02 -1.93004878E-02 -1.81952628E-02  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  25.85 -1.53860611E-02 -1.01803709E-02 -1.64847947E-02 -1.76649763E-02 -1.66531724E-02  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  26.10 -1.41696777E-02 -9.32644734E-03 -1.51909601E-02 -1.62143214E-02 -1.52848835E-02  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  26.35 -1.30893012E-02 -8.58147022E-03 -1.40564418E-02 -1.49317568E-02 -1.40748349E-02  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  26.60 -1.21210019E-02 -7.93478378E-03 -1.30456875E-02 -1.37981155E-02 -1.30051158E-02  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  26.85 -1.12470914E-02 -7.37368467E-03 -1.21335989E-02 -1.27943396E-02 -1.20578689E-02  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  27.10 -1.04548398E-02 -6.88491681E-03 -1.13035046E-02 -1.19025572E-02 -1.12163132E-02  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  27.35 -9.73484719E-03 -6.45595592E-03 -1.05444221E-02 -1.11066975E-02 -1.04653322E-02  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  27.60 -9.07979590E-03 -6.07574959E-03 -9.84887748E-03 -1.03927549E-02 -9.79173252E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
  27.85 -8.48359753E-03 -5.73501901E-03 -9.21135973E-03 -9.74879470E-03 -9.18425742E-03  7.67928314E+01  5.42974396E+01  8.16734467E+01  7.08150482E+01  2.88764706E+01  5.00706902E+01  5.00707779E+01
